Gene;Alteration;Type;Name;Clinical trial phase;"Reference retained 
(first author, journal, date)";Trial identifier ( clinicaltrials.gov number or pubmed identifier);Agents;mPFS;Alteration_prevalence;Normal_tissue;Normal_Tissue_RNA_Expression(TPM);Functionnal impact
ALK;Mutation;Misc.;"ALK
Misc.";2;Gambacorti-Passerini, Am J Hematol 2019;NCT01121588;Crizotinib;1.3;1.00%;Misc.;0.66;No
ALK;Mutation;Neurob.;"ALK
Neurob.";2;Goldsmith, Nature Med, 2023;"NCT00939770
NCT03107988.";Lorlatinib;5.0;11%;Adrenal;0.11;Strong
EGFR;Mutation;LUAD;"EGFR
LUAD";3;Soria , N Engl J Med, 2019;NCT02296125;Osimertinib;18.9;15%;Lung;22.13;Strong
ERBB2;Mutation;BLCA;"HER2
BLCA";2;Hyman , Nature, 2018;NCT01953926;Neratinib;4.0;1%;Bladder;36.50;Unclear
ERBB2;Mutation;BRCA;"HER2
BRCA";2;Hyman , Nature, 2018;NCT01953926;Neratinib;3.5;5%;Breast;36.90;Probable
ERBB2;Mutation;CHOL;"HER2
COAD";2;Hyman , Nature, 2018;NCT01953926;Neratinib;2.8;1%;Liver;31.92;Unclear
ERBB2;Mutation;COAD;"HER2
COAD";2;Hyman , Nature, 2018;NCT01953926;Neratinib;1.8;1%;Colon;31.92;Unclear
ERBB2;Mutation;LUAD;"HER2
LUAD";2;Le,J Clin Oncol 2022;NCT03318939;Poziotinib;5.5;1%;Lung;47.78;Unclear
ERBB2;Mutation;Misc.;"HER2
Misc.";2;Hyman , Nature, 2018;NCT01953926;Neratinib;1.7;1%;Misc.;38.72;Unclear
FGFR1-2-3;Mutation;Misc.;"FGFR 1-2-3
Miscel.
";1;Nogova, J Clin Oncol  2017;NCT01004224;Infigratinib;3.0;1%;Misc.;33.49;Probable
FGFR2;Mutation;UCEC;"FGFR2
UCEC";2;Konecny, Lancet Oncol, 2015;NCT01379534;Dovitinib;4.1;10%;Uterus;43.50;Probable
FGFR3;Mutation;BLCA;"FGFR3
BLCA";2;Siefker-Radtke Lancet Oncol 2022;NCT02365597;Erdafitinib;5.6;20%;Bladder;5.60;No
KIT;Mutation;GIST;"KIT
GIST";3;Casali,  J Clin Oncol  2017 ;PMID:ÿ28362562;Imatinib;24.0;80%;Myofibro/Stomach;10.40;Strong
KIT;Mutation;SKME;"KIT
Melan.";2;Guo, Ann Oncol  2017;NCT01028222;Nilotinib;4.2;3%;Skin;27.70;Strong
MET;Mutation;LUAD;"MET ex14
LUAD";2;"Wolf, N Engl J Med 2020
";NCT02414139;Capmatinib;12.6;3%;Lung;9.77;Probable
MET  ;Mutation;KIRP;"MET
KIRP";2;Choueiri, J Clin Oncol  2013;NCT00726323;Foretinib;9.0;21%;Kidney;11.03;Strong
PDGFRA;Mutation;GIST;"PDGFRA
GIST";1;Jones, Eur J C 2021;NCT02508532;"
Avapritinib ";34.0;11;Myofibro/Stomach;84.58;Strong
RET;Mutation;MTC;"RET
med.THYR";2;Wirth, J Clin Oncol, 2024;NCT03157128;Selpercatinib;53.0;60%;Thyroid;0.94;Strong
RET;Mutation;Pheo;"RET
Pheo";1;"Deschler-Baier, J Clin Endocrinol Metab
. 2025";NCT03157128;Selpercatinib ;9.4;3%;Adrenal;1.17;Strong
EGFR;Amplification;ESTA;"EGFR
ESCA";2;Huang, J Thor Oncol  2016;NCT01855854;Icotinib;1.7;4%;Esophagus;29.91;Strong
EGFR;Amplification;GBM;"EGFR
GBM";2;S‚pulveda-S…nchez, J NeuroOncol  2017;NCT01520870;Dacomitinib f;2.6;35%;Brain;2.98;No
ERBB2;Amplification;BRCA;"HER2
BRCA";2;Marti, Eur J Cancer, 2013;NCT00777101;Neratinib;4.5;15%;Breast;36.90;Probable
ERBB2;Amplification;GEC;"HER2
STAD";2;Oh, Gastric Cancer,2016;NCT01152853;Dacomitinib;2.0;15%;Stomach;34.50;Unclear
FGFR1;Amplification;BRCA;"FGFR1
BRCA";2;Hui, Clin Can Res, 2020;NCT02053636;Lucitanib;1.6;13%;Breast;95.73;Probable
FGFR1-2-3;Amplification;Misc.;"FGFR 1-2-3
Miscel.
";2;Soria, Ann Oncol, 2014;NCT01283945;Lucitanib;2.0;1%;Misc.;33.49;Probable
FGFR2;Amplification;LUSC;"FGFR1
LUSC";1;Nogova J Clin Oncol 2017;NCT01004224;Infigratinib ;2.0;25%;Lung;60.40;Probable
FGFR2;Amplification;STAD;"FGFR2
STAD";2;Meric-Bernstam, Cancer Discov 2022;NCT02052778;Futibatinib;1.5;3%;Stomach;5.30;Probable
KIT;Amplification;Misc.;"KIT
Misc";2;Hye Ryeon, J Cancer Res and Ther, 2024;NCT02461849;Imatinib;2.2;1%;Misc.;12.10;Unclear
MET  ;Amplification;GEC;"MET
STAD";2;Lennerz, J Clin Oncol  2011;NCT00585195;Crizotinib;3.5;3%;Stomach;5.17;Probable
MET  ;Amplification;LUAD;"MET
LUAD";2;"
Wolf, N Engl J Med 2020";NCT02414139;Capmatinib;4.2;6%;Lung;9.77;Probable
ALK;Translocation;ALCL;"ALK
Lymphoma";2;Fukano, Cancer Science 2020;PMID:ÿ33010107 (No NCT number);"Alectinib
";20.0;50.00%;Lymphocyte;0.02;No
ALK;Translocation;IMT;"ALK
IMT";2;Fischer, Lancet Oncol 2021;NCT01742286;"Crizotinib
Crizotinib
Ceritinib";25.0;50%;Fibroblast;0.01;No
ALK;Translocation;LUAD;"ALK
LUAD";3;Solomon J Clin Oncol 2024;NCT03052608;Lorlatinib;68.0;3%;Lung;0.07;No
FGFR1-2-3;Translocation;Misc.;"FGFR 1-2-3-4
Miscel.";2;Pant, Lancet Oncol 2023;NCT04083976;Erdafitinib;4.2;1%;Misc.;33.49;Unclear
FGFR2;Translocation;CHOL;"FGFR2
CHOL";2;Abou-Alfa, Lancet Oncol 2020;NCT02924376;Pemigratinib;6.0;16%;Liver;7.48;Probable
FGFR3;Translocation;BLCA;"FGFR3
BLCA";2;Loriot, N Engl J Med, 2019;NCT02365597;Erdafitinib;5.6;5%;Bladder;4.27;No
NTRK1-2-3;Translocation;Misc.;"NTRK1-2-3
Misc.";2;Drilon , N Engl J Med 2018;NCT02122913,ÿNCT02637687, andÿNCT02576431;Larotrectinib;18.0;1%;Misc.;1.12;No
RET;Translocation;LUAD;"RET
LUAD";2;Zhou, N Engl J Med 2023;NCT04194944;Selpercatinib;24.8;2%;Lung;0.47;No
RET;Translocation;Misc.;"RET
Misc.";1;Subbiah, Lancet Oncol 2024;NCT03157128;Selpercatinib ;13;1%;Misc.;0.66;No
RET;Translocation;Misc.;"RET
Misc.";1;Subbiah, Lancet Oncol 2024;NCT03157128;Selpercatinib ;9.4;1%;Misc.;0.66;No
RET;Translocation;THYR;"RET
THYR";2;Wirth, J Clin Oncol, 2024;NCT03157128;Selpercatinib;44.0;10%;Thyroid;0.94;No
ROS1;Translocation;LUAD;"ROS1
LUAD";3;Drilon, N Engl J Med 2024;NCT03093116;Repotrectinib;35.7;1.62%;Lung;0.01;No
ROS1;Translocation;Misc.;"ROS1
Misc. Pediatric";2;Desai, Neuro Oncol, 2022;NCT02650401;Entrectinib;10.0;1%;Misc.;11.90;No
